timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2022-06-29T00:00:00.000Z";"2022-06-29T23:59:59.999Z";"2022-06-29T04:44:00.000Z";"2022-06-29T00:50:00.000Z";"2781";0.0423204149;0.0896611345;0.0398600342;0.0810992699;438090914.25;831618218.29;10254324352.04;"2022-06-29T23:59:59.999Z"
"2022-06-28T00:00:00.000Z";"2022-06-28T23:59:59.999Z";"2022-06-28T10:19:00.000Z";"2022-06-28T02:18:00.000Z";"2781";0.0204360063;0.0589653298;0.0175232695;0.0421609148;175155205.19;432331635.88;10254322943.26;"2022-06-28T23:59:59.999Z"
"2022-06-27T00:00:00.000Z";"2022-06-27T23:59:59.999Z";"2022-06-27T12:10:00.000Z";"2022-06-27T03:20:00.000Z";"2781";0.0231901309;0.0431348859;0.0142250568;0.0204345089;87334520.2;209542045.49;10254322575.19;"2022-06-27T23:59:59.999Z"
"2022-06-26T00:00:00.000Z";"2022-06-26T23:59:59.999Z";"2022-06-26T23:40:00.000Z";"2022-06-26T00:00:00.000Z";"2781";0.00974089400268;0.0236279091;0.00974089400268;0.0231807375;32407771.57;237702686.32;10254319401.86;"2022-06-26T23:59:59.999Z"
"2022-06-25T00:00:00.000Z";"2022-06-25T23:59:59.999Z";"2022-06-25T14:55:00.000Z";"2022-06-25T02:15:00.000Z";"2781";0.0138982764;0.0155700944;0.00919067523578;0.0097378956415;13018569.71;99855471.24;10254317248.37;"2022-06-25T23:59:59.999Z"
"2022-06-24T00:00:00.000Z";"2022-06-24T23:59:59.999Z";"2022-06-24T13:20:00.000Z";"2022-06-24T00:16:00.000Z";"2781";0.00852836333062;0.0168202977;0.00849550331851;0.0138261759;15871852.73;141778064.79;10254322378.21;"2022-06-24T23:59:59.999Z"
"2022-06-23T00:00:00.000Z";"2022-06-23T23:59:59.999Z";"2022-06-23T11:29:00.000Z";"2022-06-23T00:03:00.000Z";"2781";0.00814895037607;0.00857165939211;0.0081428212794;0.00852588443549;9468493.68;87427159.86;10254321474.4;"2022-06-23T23:59:59.999Z"
"2022-06-22T00:00:00.000Z";"2022-06-22T23:59:59.999Z";"2022-06-22T19:01:00.000Z";"2022-06-22T08:07:00.000Z";"2781";0.00830832415829;0.00833525136522;0.00789546491803;0.00815104999671;8940943.67;83583494.75;10254322422.21;"2022-06-22T23:59:59.999Z"
"2022-06-21T00:00:00.000Z";"2022-06-21T23:59:59.999Z";"2022-06-21T17:01:00.000Z";"2022-06-21T00:48:00.000Z";"2781";0.0082307006675;0.0088290406463;0.0082094675044;0.00830731083396;12842078.93;85185887.49;10254327686.26;"2022-06-21T23:59:59.999Z"
"2022-06-20T00:00:00.000Z";"2022-06-20T23:59:59.999Z";"2022-06-20T15:49:00.000Z";"2022-06-20T01:47:00.000Z";"2781";0.00811116624306;0.00913043771337;0.00772661586544;0.00822689749996;15948069.92;84361307.02;10254328197.99;"2022-06-20T23:59:59.999Z"
"2022-06-19T00:00:00.000Z";"2022-06-19T23:59:59.999Z";"2022-06-19T20:01:00.000Z";"2022-06-19T06:07:00.000Z";"2781";0.00653989307473;0.00875479550795;0.00632977806917;0.00810706484103;18618341.77;83132508.47;10254328798.19;"2022-06-19T23:59:59.999Z"
"2022-06-18T00:00:00.000Z";"2022-06-18T23:59:59.999Z";"2022-06-18T01:16:00.000Z";"2022-06-18T20:54:00.000Z";"2781";0.00729004415624;0.00736332335114;0.00621758715353;0.00654014252513;13425949.76;67064783.59;10254330593.42;"2022-06-18T23:59:59.999Z"
"2022-06-17T00:00:00.000Z";"2022-06-17T23:59:59.999Z";"2022-06-17T11:06:00.000Z";"2022-06-17T00:06:00.000Z";"2781";0.00692792253033;0.00756353749526;0.00691078531143;0.00728935649753;14091598.27;74747471.07;10254330555.75;"2022-06-17T23:59:59.999Z"
"2022-06-16T00:00:00.000Z";"2022-06-16T23:59:59.999Z";"2022-06-16T01:31:00.000Z";"2022-06-16T23:55:00.000Z";"2781";0.00779134964865;0.00813855944258;0.0069180074333;0.0069287095021;12317780.7;71049278.61;10254330707.01;"2022-06-16T23:59:59.999Z"
"2022-06-15T00:00:00.000Z";"2022-06-15T23:59:59.999Z";"2022-06-15T01:56:00.000Z";"2022-06-15T18:14:00.000Z";"2781";0.00810698253917;0.00815698087403;0.00692545362639;0.00778882073367;11469426.07;79869154.77;10254332137.71;"2022-06-15T23:59:59.999Z"
"2022-06-14T00:00:00.000Z";"2022-06-14T23:59:59.999Z";"2022-06-14T07:56:00.000Z";"2022-06-14T02:33:00.000Z";"2781";0.00838062386407;0.00872321191681;0.00786191832524;0.00809887602316;9245974.01;83048583.21;10254334424.28;"2022-06-14T23:59:59.999Z"
"2022-06-13T00:00:00.000Z";"2022-06-13T23:59:59.999Z";"2022-06-13T00:00:00.000Z";"2022-06-13T09:10:00.000Z";"2781";0.00981927682434;0.00981927682434;0.00821004518994;0.00837839747653;22534520.22;85914889.6;10254334416.44;"2022-06-13T23:59:59.999Z"
"2022-06-12T00:00:00.000Z";"2022-06-12T23:59:59.999Z";"2022-06-12T14:40:00.000Z";"2022-06-12T05:20:00.000Z";"2781";0.00871992158208;0.0109599864;0.00808803300816;0.00982210315306;25632151.3;100719132.3;10254334608.63;"2022-06-12T23:59:59.999Z"
"2022-06-11T00:00:00.000Z";"2022-06-11T23:59:59.999Z";"2022-06-11T05:14:00.000Z";"2022-06-11T16:41:00.000Z";"2781";0.0097025098016;0.00997266493764;0.00863175960186;0.00872044770248;14758869.93;89422388.7;10254334611.03;"2022-06-11T23:59:59.999Z"
"2022-06-10T00:00:00.000Z";"2022-06-10T23:59:59.999Z";"2022-06-10T01:10:00.000Z";"2022-06-10T17:08:00.000Z";"2781";0.0114671056;0.0115777188;0.0096061831041;0.00969891356025;24815206.71;99455898.97;10254333988.11;"2022-06-10T23:59:59.999Z"
"2022-06-09T00:00:00.000Z";"2022-06-09T23:59:59.999Z";"2022-06-09T03:34:00.000Z";"2022-06-09T00:45:00.000Z";"2781";0.0097922922846;0.0119924047;0.00925720823021;0.0114657785;24601318.66;117573924.65;10254334170.62;"2022-06-09T23:59:59.999Z"
"2022-06-08T00:00:00.000Z";"2022-06-08T23:59:59.999Z";"2022-06-08T00:00:00.000Z";"2022-06-08T23:59:00.000Z";"2781";0.0134209049;0.0134209049;0.00979641272732;0.00979641272732;11499708.95;100455710.34;10254336269.4;"2022-06-08T23:59:59.999Z"
"2022-06-07T00:00:00.000Z";"2022-06-07T23:59:59.999Z";"2022-06-07T00:29:00.000Z";"2022-06-07T23:40:00.000Z";"2781";0.015778691;0.0161475138;0.0133461985;0.0134306932;10815115.02;137722864.12;10254337763.9;"2022-06-07T23:59:59.999Z"
"2022-06-06T00:00:00.000Z";"2022-06-06T23:59:59.999Z";"2022-06-06T11:52:00.000Z";"2022-06-06T17:07:00.000Z";"2781";0.0158944903;0.0172657237;0.015651707;0.0158009167;10907243.26;162027935.49;10254337674.59;"2022-06-06T23:59:59.999Z"
"2022-06-05T00:00:00.000Z";"2022-06-05T23:59:59.999Z";"2022-06-05T00:22:00.000Z";"2022-06-05T13:06:00.000Z";"2781";0.0182345505;0.0183753309;0.0156789712;0.0158962334;12834486.01;163005329.78;10254336683.94;"2022-06-05T23:59:59.999Z"
"2022-06-04T00:00:00.000Z";"2022-06-04T23:59:59.999Z";"2022-06-04T02:40:00.000Z";"2022-06-04T22:53:00.000Z";"2781";0.019335702;0.0197371914;0.0176678662;0.0182342364;11307782.69;186980000.19;10254336744.44;"2022-06-04T23:59:59.999Z"
"2022-06-03T00:00:00.000Z";"2022-06-03T23:59:59.999Z";"2022-06-03T05:25:00.000Z";"2022-06-03T19:21:00.000Z";"2781";0.0197581064;0.0213244846;0.0171840974;0.0193348669;26362402.38;198265316.52;10254289201.11;"2022-06-03T23:59:59.999Z"
"2022-06-02T00:00:00.000Z";"2022-06-02T23:59:59.999Z";"2022-06-02T16:58:00.000Z";"2022-06-02T11:27:00.000Z";"2781";0.0160532107;0.0204493118;0.0145408971;0.0199400038;24514329.09;204470573.42;10254289582.22;"2022-06-02T23:59:59.999Z"
"2022-06-01T00:00:00.000Z";"2022-06-01T23:59:59.999Z";"2022-06-01T01:11:00.000Z";"2022-06-01T20:46:00.000Z";"2781";0.0214448828;0.0217681336;0.0150495413;0.0160585789;23515716.24;164662899.71;10253889867.33;"2022-06-01T23:59:59.999Z"
"2022-05-31T00:00:00.000Z";"2022-05-31T23:59:59.999Z";"2022-05-31T08:27:00.000Z";"2022-05-31T20:16:00.000Z";"2781";0.0250502541;0.0262824167;0.0208536339;0.0214387755;28291419.88;219860174.18;10255257999.84;"2022-05-31T23:59:59.999Z"
"2022-05-30T00:00:00.000Z";"2022-05-30T23:59:59.999Z";"2022-05-30T09:04:00.000Z";"2022-05-30T23:44:00.000Z";"2781";0.026766207;0.0330076847;0.0250133936;0.0251129871;32885587.67;283248162.11;11278951456.02;"2022-05-30T23:59:59.999Z"
